Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!English only,Margin of Error!!Total:!!English only,Estimate!!Total:!!Spanish:,Margin of Error!!Total:!!Spanish:,Estimate!!Total:!!Spanish:!!Limited English speaking household,Margin of Error!!Total:!!Spanish:!!Limited English speaking household,Estimate!!Total:!!Spanish:!!Not a limited English speaking household,Margin of Error!!Total:!!Spanish:!!Not a limited English speaking household,"Estimate!!Total:!!French, Haitian, or Cajun:","Margin of Error!!Total:!!French, Haitian, or Cajun:","Estimate!!Total:!!French, Haitian, or Cajun:!!Limited English speaking household","Margin of Error!!Total:!!French, Haitian, or Cajun:!!Limited English speaking household","Estimate!!Total:!!French, Haitian, or Cajun:!!Not a limited English speaking household","Margin of Error!!Total:!!French, Haitian, or Cajun:!!Not a limited English speaking household",Estimate!!Total:!!German or other West Germanic languages:,Margin of Error!!Total:!!German or other West Germanic languages:,Estimate!!Total:!!German or other West Germanic languages:!!Limited English speaking household,Margin of Error!!Total:!!German or other West Germanic languages:!!Limited English speaking household,Estimate!!Total:!!German or other West Germanic languages:!!Not a limited English speaking household,Margin of Error!!Total:!!German or other West Germanic languages:!!Not a limited English speaking household,"Estimate!!Total:!!Russian, Polish, or other Slavic languages:","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:","Estimate!!Total:!!Russian, Polish, or other Slavic languages:!!Limited English speaking household","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:!!Limited English speaking household","Estimate!!Total:!!Russian, Polish, or other Slavic languages:!!Not a limited English speaking household","Margin of Error!!Total:!!Russian, Polish, or other Slavic languages:!!Not a limited English speaking household",Estimate!!Total:!!Other Indo-European languages:,Margin of Error!!Total:!!Other Indo-European languages:,Estimate!!Total:!!Other Indo-European languages:!!Limited English speaking household,Margin of Error!!Total:!!Other Indo-European languages:!!Limited English speaking household,Estimate!!Total:!!Other Indo-European languages:!!Not a limited English speaking household,Margin of Error!!Total:!!Other Indo-European languages:!!Not a limited English speaking household,Estimate!!Total:!!Korean:,Margin of Error!!Total:!!Korean:,Estimate!!Total:!!Korean:!!Limited English speaking household,Margin of Error!!Total:!!Korean:!!Limited English speaking household,Estimate!!Total:!!Korean:!!Not a limited English speaking household,Margin of Error!!Total:!!Korean:!!Not a limited English speaking household,"Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Limited English speaking household","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Limited English speaking household","Estimate!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Not a limited English speaking household","Margin of Error!!Total:!!Chinese (incl. Mandarin, Cantonese):!!Not a limited English speaking household",Estimate!!Total:!!Vietnamese:,Margin of Error!!Total:!!Vietnamese:,Estimate!!Total:!!Vietnamese:!!Limited English speaking household,Margin of Error!!Total:!!Vietnamese:!!Limited English speaking household,Estimate!!Total:!!Vietnamese:!!Not a limited English speaking household,Margin of Error!!Total:!!Vietnamese:!!Not a limited English speaking household,Estimate!!Total:!!Tagalog (incl. Filipino):,Margin of Error!!Total:!!Tagalog (incl. Filipino):,Estimate!!Total:!!Tagalog (incl. Filipino):!!Limited English speaking household,Margin of Error!!Total:!!Tagalog (incl. Filipino):!!Limited English speaking household,Estimate!!Total:!!Tagalog (incl. Filipino):!!Not a limited English speaking household,Margin of Error!!Total:!!Tagalog (incl. Filipino):!!Not a limited English speaking household,Estimate!!Total:!!Other Asian and Pacific Island languages:,Margin of Error!!Total:!!Other Asian and Pacific Island languages:,Estimate!!Total:!!Other Asian and Pacific Island languages:!!Limited English speaking household,Margin of Error!!Total:!!Other Asian and Pacific Island languages:!!Limited English speaking household,Estimate!!Total:!!Other Asian and Pacific Island languages:!!Not a limited English speaking household,Margin of Error!!Total:!!Other Asian and Pacific Island languages:!!Not a limited English speaking household,Estimate!!Total:!!Arabic:,Margin of Error!!Total:!!Arabic:,Estimate!!Total:!!Arabic:!!Limited English speaking household,Margin of Error!!Total:!!Arabic:!!Limited English speaking household,Estimate!!Total:!!Arabic:!!Not a limited English speaking household,Margin of Error!!Total:!!Arabic:!!Not a limited English speaking household,Estimate!!Total:!!Other and unspecified languages:,Margin of Error!!Total:!!Other and unspecified languages:,Estimate!!Total:!!Other and unspecified languages:!!Limited English speaking household,Margin of Error!!Total:!!Other and unspecified languages:!!Limited English speaking household,Estimate!!Total:!!Other and unspecified languages:!!Not a limited English speaking household,Margin of Error!!Total:!!Other and unspecified languages:!!Not a limited English speaking household
0500000US48131,"Duval County, Texas",2892,185,599,187,2254,191,148,95,2106,213,0,21,0,21,0,21,39,59,0,21,39,59,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48133,"Eastland County, Texas",7083,326,5994,312,961,198,69,58,892,206,16,26,0,23,16,26,12,14,0,23,12,14,16,23,0,23,16,23,6,10,0,23,6,10,3,5,3,5,0,23,11,16,0,23,11,16,62,83,0,23,62,83,0,23,0,23,0,23,1,3,1,3,0,23,0,23,0,23,0,23,1,2,0,23,1,2
0500000US48135,"Ector County, Texas",60676,631,27228,1192,31537,1146,5278,761,26259,1198,18,43,0,35,18,43,287,196,0,35,287,196,99,89,0,35,99,89,133,76,13,21,120,73,13,25,0,35,13,25,45,49,1,3,44,49,101,64,15,28,86,59,446,298,52,77,394,289,145,102,36,48,109,100,89,91,0,35,89,91,535,298,0,35,535,298
0500000US48137,"Edwards County, Texas",526,113,292,94,234,81,59,41,175,77,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48139,"Ellis County, Texas",65686,546,51505,818,12762,675,1441,339,11321,680,246,167,0,35,246,167,139,90,0,35,139,90,136,73,0,35,136,73,178,81,9,15,169,77,7,13,0,35,7,13,30,34,14,24,16,24,39,43,0,35,39,43,143,73,0,35,143,73,181,85,58,59,123,65,102,67,29,25,73,65,218,169,0,35,218,169
0500000US48141,"El Paso County, Texas",292580,1366,67202,1830,217218,2016,56929,1781,160289,2522,1082,331,131,135,951,317,1530,383,111,84,1419,382,231,124,0,35,231,124,772,197,129,86,643,170,850,227,155,90,695,226,504,145,171,86,333,126,402,144,171,121,231,91,750,218,57,78,693,199,1104,263,192,121,912,261,269,130,0,35,269,130,666,284,163,211,503,174
0500000US48143,"Erath County, Texas",16007,418,13562,462,2046,321,470,194,1576,308,4,6,0,31,4,6,140,82,0,31,140,82,31,50,0,31,31,50,98,73,0,31,98,73,18,28,0,31,18,28,30,35,0,31,30,35,0,31,0,31,0,31,33,33,8,13,25,31,24,42,24,42,0,31,21,34,0,31,21,34,0,31,0,31,0,31
0500000US48145,"Falls County, Texas",5499,257,4808,273,600,127,125,82,475,113,0,23,0,23,0,23,32,37,3,6,29,37,10,9,0,23,10,9,16,19,0,23,16,19,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,33,33,0,23,33,33
0500000US48147,"Fannin County, Texas",12699,308,11447,359,1044,192,151,136,893,131,3,9,3,9,0,31,72,39,0,31,72,39,4,5,0,31,4,5,44,33,15,25,29,21,0,31,0,31,0,31,11,17,0,31,11,17,0,31,0,31,0,31,4,6,0,31,4,6,37,35,0,31,37,35,0,31,0,31,0,31,33,42,0,31,33,42
0500000US48149,"Fayette County, Texas",9310,372,7823,339,1189,163,32,31,1157,164,117,116,0,28,117,116,62,39,0,28,62,39,63,31,3,5,60,31,17,14,0,28,17,14,5,9,0,28,5,9,0,28,0,28,0,28,0,28,0,28,0,28,7,11,0,28,7,11,27,36,0,28,27,36,0,28,0,28,0,28,0,28,0,28,0,28
0500000US48151,"Fisher County, Texas",1514,118,1148,98,350,82,49,39,301,73,0,15,0,15,0,15,12,17,0,15,12,17,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,4,7,4,7,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48153,"Floyd County, Texas",1938,127,1131,127,802,106,142,67,660,96,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,5,7,0,21,5,7,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48155,"Foard County, Texas",462,74,422,68,39,37,17,31,22,21,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,1,2,0,15,1,2,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48157,"Fort Bend County, Texas",270136,1304,147565,2595,51907,1515,7543,975,44364,1662,2107,678,31,37,2076,674,1076,529,33,36,1043,527,1597,449,174,105,1423,424,20254,1316,1267,266,18987,1270,1123,371,112,92,1011,363,11170,1057,3270,531,7900,860,7522,1063,1700,434,5822,920,4272,895,419,207,3853,847,9618,883,1079,414,8539,797,3598,803,486,348,3112,731,8327,1361,95,96,8232,1362
0500000US48159,"Franklin County, Texas",3782,184,3220,191,476,73,105,79,371,95,42,53,0,23,42,53,21,28,0,23,21,28,7,11,0,23,7,11,6,11,0,23,6,11,10,16,0,23,10,16,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48161,"Freestone County, Texas",6701,259,6046,256,604,143,54,57,550,150,0,23,0,23,0,23,0,23,0,23,0,23,2,3,0,23,2,3,38,41,0,23,38,41,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,11,15,0,23,11,15,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48163,"Frio County, Texas",4709,416,1529,310,3163,372,673,283,2490,369,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,17,36,0,23,17,36,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48165,"Gaines County, Texas",6909,204,2653,368,2491,311,560,212,1931,345,0,28,0,28,0,28,1659,290,470,193,1189,239,0,28,0,28,0,28,52,66,0,28,52,66,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,32,52,0,28,32,52,0,28,0,28,0,28,0,28,0,28,0,28,22,29,0,28,22,29
0500000US48167,"Galveston County, Texas",135275,952,102724,1529,24100,1038,3020,570,21080,976,749,390,12,19,737,390,736,252,4,6,732,253,473,213,53,53,420,205,1818,373,234,146,1584,335,294,160,7,14,287,158,852,289,153,112,699,265,1058,276,80,75,978,282,684,213,37,35,647,202,1166,253,164,122,1002,233,186,90,28,38,158,82,435,240,10,15,425,240
0500000US48169,"Garza County, Texas",1677,157,1233,183,422,132,34,49,388,136,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,12,18,0,21,12,18,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,10,15,10,15,0,21
0500000US48171,"Gillespie County, Texas",11035,409,9000,408,1497,197,215,130,1282,207,9,17,0,28,9,17,474,152,19,22,455,153,14,18,0,28,14,18,1,5,0,28,1,5,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,22,34,0,28,22,34,18,23,0,28,18,23,0,28,0,28,0,28,0,28,0,28,0,28
0500000US48173,"Glasscock County, Texas",415,54,274,58,100,54,25,28,75,46,0,15,0,15,0,15,24,37,0,15,24,37,9,15,0,15,9,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,8,15,0,15,8,15,0,15,0,15,0,15
0500000US48175,"Goliad County, Texas",2720,158,1978,157,692,125,87,57,605,134,0,21,0,21,0,21,48,48,0,21,48,48,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,2,5,0,21,2,5,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48177,"Gonzales County, Texas",7412,210,4854,302,2430,229,528,145,1902,236,0,23,0,23,0,23,10,16,0,23,10,16,23,29,0,23,23,29,0,23,0,23,0,23,9,11,0,23,9,11,2,5,0,23,2,5,11,15,0,23,11,15,10,16,0,23,10,16,57,51,57,51,0,23,0,23,0,23,0,23,6,10,0,23,6,10
0500000US48179,"Gray County, Texas",8021,235,6360,266,1583,219,383,164,1200,191,0,28,0,28,0,28,28,22,0,28,28,22,0,28,0,28,0,28,7,16,0,28,7,16,25,42,0,28,25,42,0,28,0,28,0,28,14,23,0,28,14,23,2,4,0,28,2,4,0,28,0,28,0,28,0,28,0,28,0,28,2,3,0,28,2,3
0500000US48181,"Grayson County, Texas",52084,687,46386,699,4556,442,773,255,3783,397,128,84,0,35,128,84,245,138,0,35,245,138,48,49,0,35,48,49,244,112,25,40,219,115,80,67,27,44,53,51,85,52,0,35,85,52,64,49,44,55,20,25,54,40,0,35,54,40,107,73,49,51,58,48,64,64,0,35,64,64,23,26,0,35,23,26
0500000US48183,"Gregg County, Texas",47008,677,40124,736,5821,397,889,217,4932,432,22,23,0,35,22,23,147,87,13,21,134,83,20,37,20,37,0,35,123,78,5,9,118,76,35,34,13,23,22,27,29,29,3,6,26,28,160,101,23,21,137,97,61,52,0,35,61,52,289,240,21,31,268,239,41,47,0,35,41,47,136,141,0,35,136,141
0500000US48185,"Grimes County, Texas",9769,293,7947,359,1616,210,341,180,1275,213,48,42,0,28,48,42,22,32,0,28,22,32,81,85,0,28,81,85,4,10,0,28,4,10,0,28,0,28,0,28,0,28,0,28,0,28,10,17,0,28,10,17,0,28,0,28,0,28,28,44,0,28,28,44,13,23,0,28,13,23,0,28,0,28,0,28
0500000US48187,"Guadalupe County, Texas",60463,634,42996,900,15194,803,1328,327,13866,830,86,65,16,19,70,63,693,225,0,35,693,225,181,91,9,14,172,90,284,157,74,105,210,109,153,110,0,35,153,110,52,45,0,35,52,45,267,118,54,70,213,108,240,99,0,35,240,99,222,110,105,86,117,64,0,35,0,35,0,35,95,70,0,35,95,70
0500000US48189,"Hale County, Texas",10997,375,5544,341,5287,396,588,159,4699,406,0,31,0,31,0,31,44,44,22,31,22,31,34,42,0,31,34,42,26,33,0,31,26,33,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,10,16,0,31,10,16,0,31,0,31,0,31,52,59,37,54,15,20,0,31,0,31,0,31
0500000US48191,"Hall County, Texas",1145,82,825,76,316,48,31,26,285,48,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,1,2,0,15,1,2,0,15,0,15,0,15,3,5,0,15,3,5,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48193,"Hamilton County, Texas",3131,175,2763,187,255,72,9,15,246,66,0,21,0,21,0,21,46,41,6,11,40,40,66,68,0,21,66,68,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,1,2,0,21,1,2,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48195,"Hansford County, Texas",1763,115,1106,116,657,97,199,98,458,91,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48197,"Hardeman County, Texas",1304,104,1027,104,221,73,67,63,154,54,0,15,0,15,0,15,3,7,0,15,3,7,0,15,0,15,0,15,2,3,0,15,2,3,0,15,0,15,0,15,5,8,0,15,5,8,4,7,4,7,0,15,0,15,0,15,0,15,1,2,0,15,1,2,0,15,0,15,0,15,41,57,0,15,41,57
0500000US48199,"Hardin County, Texas",20845,539,19468,573,1220,251,189,139,1031,229,21,32,0,35,21,32,11,14,0,35,11,14,24,43,0,35,24,43,31,28,0,35,31,28,0,35,0,35,0,35,14,17,0,35,14,17,16,21,0,35,16,21,13,21,0,35,13,21,12,14,0,35,12,14,0,35,0,35,0,35,15,28,0,35,15,28
0500000US48201,"Harris County, Texas",1692896,4042,923500,5759,578129,3804,157200,3621,420929,4578,15211,1370,1433,499,13778,1309,6786,749,279,161,6507,686,7651,820,606,169,7045,830,39502,1901,4296,580,35206,1774,5115,634,1313,322,3802,596,23473,1350,6736,725,16737,1158,32791,1792,11060,1011,21731,1472,9118,1054,723,227,8395,982,17882,1056,2965,498,14917,1117,11890,1065,2047,518,9843,913,21848,1272,1911,409,19937,1255
0500000US48203,"Harrison County, Texas",24993,565,22356,566,2308,319,373,135,1935,316,0,35,0,35,0,35,55,55,0,35,55,55,66,60,40,46,26,41,15,23,0,35,15,23,0,35,0,35,0,35,12,20,0,35,12,20,18,20,12,17,6,10,0,35,0,35,0,35,64,44,19,32,45,35,11,17,0,35,11,17,88,72,0,35,88,72
0500000US48205,"Hartley County, Texas",1626,91,1304,134,257,102,4,10,253,100,0,21,0,21,0,21,37,35,0,21,37,35,0,21,0,21,0,21,28,26,0,21,28,26,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48207,"Haskell County, Texas",2090,119,1679,124,404,73,73,39,331,78,0,21,0,21,0,21,3,6,0,21,3,6,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,4,6,0,21,4,6,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
0500000US48209,"Hays County, Texas",89328,783,62248,1241,23820,1202,2689,601,21131,1179,242,110,20,29,222,106,521,254,13,23,508,253,131,77,9,15,122,76,928,299,117,129,811,279,129,96,0,35,129,96,105,50,0,35,105,50,116,83,10,18,106,83,386,179,0,35,386,179,260,125,37,38,223,120,257,246,137,220,120,116,185,157,0,35,185,157
0500000US48211,"Hemphill County, Texas",1345,94,950,99,368,60,23,28,345,67,0,15,0,15,0,15,27,23,0,15,27,23,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48213,"Henderson County, Texas",31973,592,28688,645,2762,325,451,182,2311,314,21,24,8,16,13,17,90,61,32,36,58,48,2,3,0,35,2,3,218,109,29,36,189,116,0,35,0,35,0,35,21,19,0,35,21,19,8,11,8,11,0,35,44,46,0,35,44,46,117,79,53,40,64,70,0,35,0,35,0,35,2,16,0,35,2,16
0500000US48215,"Hidalgo County, Texas",257499,1634,33236,1388,220335,1956,47953,2460,172382,2500,317,187,14,22,303,183,295,108,27,29,268,103,28,25,0,35,28,25,753,228,69,70,684,231,262,132,129,85,133,101,220,113,31,40,189,99,92,60,45,47,47,59,775,188,0,35,775,188,946,232,103,113,843,204,43,42,31,39,12,19,197,114,26,43,171,105
0500000US48217,"Hill County, Texas",13390,270,11306,264,1871,132,262,78,1609,139,0,31,0,31,0,31,72,68,0,31,72,68,22,16,1,2,21,16,17,20,0,31,17,20,22,29,22,29,0,31,28,22,3,4,25,21,20,18,11,16,9,15,3,4,0,31,3,4,17,17,0,31,17,17,12,15,0,31,12,15,0,31,0,31,0,31
0500000US48219,"Hockley County, Texas",7922,228,4876,247,2976,221,357,103,2619,205,0,28,0,28,0,28,46,42,22,29,24,33,0,28,0,28,0,28,1,2,0,28,1,2,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,12,19,0,28,12,19,11,12,0,28,11,12
0500000US48221,"Hood County, Texas",24734,556,22202,700,2142,371,315,174,1827,386,23,28,0,35,23,28,150,88,0,35,150,88,0,35,0,35,0,35,109,70,11,19,98,65,6,8,3,7,3,4,33,36,0,35,33,36,17,24,17,24,0,35,17,21,0,35,17,21,35,36,0,35,35,36,0,35,0,35,0,35,0,35,0,35,0,35
0500000US48223,"Hopkins County, Texas",13781,261,11907,303,1627,154,274,106,1353,179,6,8,0,31,6,8,116,60,0,31,116,60,0,31,0,31,0,31,30,30,0,31,30,30,3,4,0,31,3,4,0,31,0,31,0,31,54,34,33,37,21,22,13,22,0,31,13,22,14,24,0,31,14,24,3,6,0,31,3,6,8,11,0,31,8,11
0500000US48225,"Houston County, Texas",7464,237,6884,251,489,127,118,70,371,103,0,28,0,28,0,28,2,4,0,28,2,4,0,28,0,28,0,28,46,48,0,28,46,48,5,16,0,28,5,16,0,28,0,28,0,28,0,28,0,28,0,28,28,35,0,28,28,35,10,16,10,16,0,28,0,28,0,28,0,28,0,28,0,28,0,28
0500000US48227,"Howard County, Texas",12010,300,8513,364,3239,323,269,138,2970,331,39,61,0,31,39,61,62,47,0,31,62,47,0,31,0,31,0,31,28,35,28,35,0,31,15,22,0,31,15,22,0,31,0,31,0,31,0,31,0,31,0,31,66,60,0,31,66,60,21,20,0,31,21,20,0,31,0,31,0,31,27,40,0,31,27,40
0500000US48229,"Hudspeth County, Texas",890,55,176,63,691,80,254,84,437,85,0,15,0,15,0,15,7,9,5,8,2,4,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,16,28,0,15,16,28,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48231,"Hunt County, Texas",36560,598,31641,590,3946,310,655,217,3291,304,97,87,0,35,97,87,188,89,0,35,188,89,72,65,0,35,72,65,47,45,10,16,37,41,50,47,9,16,41,42,80,77,8,13,72,76,94,72,44,55,50,52,63,52,0,35,63,52,93,68,0,35,93,68,8,8,0,35,8,8,181,145,113,143,68,60
0500000US48233,"Hutchinson County, Texas",6711,259,5619,242,1044,150,126,94,918,145,0,28,0,28,0,28,2,4,0,28,2,4,11,16,0,28,11,16,10,14,0,28,10,14,0,28,0,28,0,28,11,20,0,28,11,20,0,28,0,28,0,28,8,14,0,28,8,14,6,11,0,28,6,11,0,28,0,28,0,28,0,28,0,28,0,28
0500000US48235,"Irion County, Texas",647,69,492,68,155,52,5,8,150,51,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48237,"Jack County, Texas",2997,137,2764,138,202,50,86,40,116,43,0,21,0,21,0,21,10,14,0,21,10,14,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,17,25,0,21,17,25,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,4,11,0,21,4,11
0500000US48239,"Jackson County, Texas",5235,260,3971,252,1163,183,188,113,975,164,0,23,0,23,0,23,17,21,0,23,17,21,40,44,24,37,16,26,11,20,0,23,11,20,13,21,0,23,13,21,10,17,0,23,10,17,0,23,0,23,0,23,0,23,0,23,0,23,10,15,0,23,10,15,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48241,"Jasper County, Texas",13142,445,12154,541,719,267,55,58,664,276,99,101,17,34,82,91,46,41,0,31,46,41,7,10,0,31,7,10,53,51,42,48,11,14,10,16,0,31,10,16,0,31,0,31,0,31,0,31,0,31,0,31,34,46,0,31,34,46,20,23,9,15,11,20,0,31,0,31,0,31,0,31,0,31,0,31
0500000US48243,"Jeff Davis County, Texas",1095,138,788,122,281,168,174,165,107,60,0,15,0,15,0,15,4,8,0,15,4,8,4,8,4,8,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,18,26,0,15,18,26
0500000US48245,"Jefferson County, Texas",93193,942,74078,1053,14539,622,3526,456,11013,636,699,232,227,161,472,169,389,165,19,22,370,163,29,30,0,35,29,30,904,222,216,96,688,195,139,162,0,35,139,162,164,100,73,68,91,78,1097,211,240,96,857,219,316,130,10,15,306,131,564,161,110,94,454,160,91,50,7,15,84,46,184,104,0,35,184,104
0500000US48247,"Jim Hogg County, Texas",1342,223,300,210,1039,152,54,33,985,145,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,3,6,0,15,3,6,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
0500000US48249,"Jim Wells County, Texas",12914,696,4298,467,8489,690,1030,307,7459,577,0,31,0,31,0,31,31,40,0,31,31,40,17,25,0,31,17,25,18,46,0,31,18,46,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,11,53,0,31,11,53,0,31,0,31,0,31,50,79,0,31,50,79,0,31,0,31,0,31
0500000US48251,"Johnson County, Texas",62297,590,51496,811,9051,654,1543,410,7508,669,80,89,0,35,80,89,153,102,0,35,153,102,148,96,35,56,113,79,227,137,68,85,159,105,160,98,130,95,30,34,16,17,0,35,16,17,115,73,0,35,115,73,123,85,0,35,123,85,449,156,13,41,436,152,78,73,0,35,78,73,201,116,27,44,174,110
0500000US48253,"Jones County, Texas",5917,221,4898,266,922,177,202,114,720,167,0,23,0,23,0,23,64,63,0,23,64,63,0,23,0,23,0,23,11,14,0,23,11,14,0,23,0,23,0,23,0,23,0,23,0,23,8,13,8,13,0,23,2,6,0,23,2,6,12,17,0,23,12,17,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48255,"Karnes County, Texas",4359,299,2906,321,1262,212,155,63,1107,217,3,6,0,23,3,6,12,21,0,23,12,21,68,39,5,7,63,38,18,34,0,23,18,34,0,23,0,23,0,23,0,23,0,23,0,23,71,78,71,78,0,23,19,45,0,23,19,45,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US48257,"Kaufman County, Texas",47899,469,36877,759,8653,439,785,243,7868,462,346,183,25,47,321,178,140,88,0,35,140,88,140,114,0,35,140,114,145,101,0,35,145,101,42,44,4,8,38,43,103,121,87,119,16,26,110,80,30,34,80,75,157,111,0,35,157,111,233,124,0,35,233,124,117,82,0,35,117,82,836,279,163,129,673,242
0500000US48259,"Kendall County, Texas",16763,396,13957,463,2373,333,238,122,2135,338,13,27,0,31,13,27,71,49,4,14,67,48,22,33,0,31,22,33,81,92,0,31,81,92,35,45,0,31,35,45,59,68,0,31,59,68,0,31,0,31,0,31,78,104,0,31,78,104,60,77,46,72,14,23,14,17,0,31,14,17,0,31,0,31,0,31
0500000US48261,"Kenedy County, Texas",38,32,0,15,38,32,18,18,20,23,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15
