"","County","Population_5_Years_Over","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Region","Rural_Urban_Stat"
"157","McMullen",620,85,0,0,0,0.137,0,0,0,"South Texas","Rural"
"158","Madison",12750,1404,19,81,0,0.11,0.001,0.006,0,"Central Texas","Rural"
"159","Marion",9326,92,42,39,0,0.01,0.005,0.004,0,"Upper East","Rural"
"160","Martin",4895,997,0,160,0,0.204,0,0.033,0,"West Texas","Urban"
"161","Mason",3619,263,4,93,0,0.073,0.001,0.026,0,"West Texas","Rural"
"162","Matagorda",33585,6329,19,185,25,0.188,0.001,0.006,0.001,"Gulf Coast","Rural"
"163","Maverick",52723,26932,13,40,549,0.511,0,0.001,0.01,"South Texas","Urban"
"164","Medina",48542,8446,15,205,2,0.174,0,0.004,0,"Alamo","Urban"
"165","Menard",1888,329,0,0,0,0.174,0,0,0,"West Texas","Rural"
"166","Midland",155093,32304,1223,843,1151,0.208,0.008,0.005,0.007,"West Texas","Urban"
"167","Milam",23682,2171,63,57,14,0.092,0.003,0.002,0.001,"Central Texas","Rural"
"168","Mills",4405,583,3,28,0,0.132,0.001,0.006,0,"Central Texas","Rural"
"169","Mitchell",8390,1177,0,23,13,0.14,0,0.003,0.002,"Northwest","Rural"
"170","Montague",19145,1011,0,50,0,0.053,0,0.003,0,"Northwest","Rural"
"171","Montgomery",589724,72540,7472,10184,2613,0.123,0.013,0.017,0.004,"Gulf Coast","Urban"
"172","Moore",19366,4868,307,35,241,0.251,0.016,0.002,0.012,"High Plains","Rural"
"173","Morris",11442,718,47,40,88,0.063,0.004,0.003,0.008,"Upper East","Rural"
"174","Motley",1147,77,0,0,0,0.067,0,0,0,"High Plains","Rural"
"175","Nacogdoches",60831,5217,334,169,28,0.086,0.005,0.003,0,"Southeast","Rural"
"176","Navarro",49387,7073,336,108,59,0.143,0.007,0.002,0.001,"Metroplex","Rural"
"177","Newton",11756,13,4,139,0,0.001,0,0.012,0,"Southeast","Rural"
"178","Nolan",13636,2468,10,60,0,0.181,0.001,0.004,0,"Northwest","Rural"
"179","Nueces",331095,82664,3159,2197,503,0.25,0.01,0.007,0.002,"South Texas","Urban"
"180","Ochiltree",9168,2394,0,38,0,0.261,0,0.004,0,"High Plains","Rural"
"181","Oldham",2045,148,10,18,0,0.072,0.005,0.009,0,"High Plains","Urban"
"182","Orange",79222,2545,224,830,69,0.032,0.003,0.01,0.001,"Southeast","Urban"
"183","Palo Pinto",26879,2145,112,110,0,0.08,0.004,0.004,0,"Metroplex","Rural"
"184","Panola",21249,1051,150,82,5,0.049,0.007,0.004,0,"Upper East","Rural"
"185","Parker",142139,6756,668,632,31,0.048,0.005,0.004,0,"Metroplex","Urban"
"186","Parmer",9083,3008,0,52,1,0.331,0,0.006,0,"High Plains","Rural"
"187","Pecos",14101,5727,65,60,34,0.406,0.005,0.004,0.002,"West Texas","Rural"
"188","Polk",47988,4230,141,90,246,0.088,0.003,0.002,0.005,"Southeast","Rural"
"189","Potter",109629,18603,2484,248,1391,0.17,0.023,0.002,0.013,"High Plains","Urban"
"190","Presidio",5663,1930,1,0,0,0.341,0,0,0,"Upper Rio Grande","Rural"
"191","Rains",11719,193,12,17,32,0.016,0.001,0.001,0.003,"Upper East","Rural"
"192","Randall",132986,9877,649,1412,312,0.074,0.005,0.011,0.002,"High Plains","Urban"
"193","Reagan",3010,1099,39,0,0,0.365,0.013,0,0,"West Texas","Rural"
"194","Real",2668,267,0,0,0,0.1,0,0,0,"South Texas","Rural"
"195","Red River",10928,178,11,65,2,0.016,0.001,0.006,0,"Upper East","Rural"
"196","Reeves",13187,4615,72,0,0,0.35,0.005,0,0,"West Texas","Rural"
"197","Refugio",6341,1565,1,0,9,0.247,0,0,0.001,"South Texas","Rural"
"198","Roberts",745,2,0,12,0,0.003,0,0.016,0,"High Plains","Rural"
"199","Robertson",15850,1299,0,49,202,0.082,0,0.003,0.013,"Central Texas","Urban"
"200","Rockwall",103994,7766,1289,1326,478,0.075,0.012,0.013,0.005,"Metroplex","Urban"
"201","Runnels",9306,1445,0,59,1,0.155,0,0.006,0,"Northwest","Rural"
"202","Rusk",49838,4210,150,203,21,0.084,0.003,0.004,0,"Upper East","Urban"
"203","Sabine",9521,229,71,8,24,0.024,0.007,0.001,0.003,"Southeast","Rural"
"204","San Augustine",7633,289,0,9,0,0.038,0,0.001,0,"Southeast","Rural"
"205","San Jacinto",26322,2390,2,102,105,0.091,0,0.004,0.004,"Southeast","Urban"
"206","San Patricio",64306,16246,275,191,21,0.253,0.004,0.003,0,"South Texas","Urban"
"207","San Saba",5535,797,0,25,0,0.144,0,0.005,0,"Central Texas","Rural"
"208","Schleicher",2265,688,3,0,0,0.304,0.001,0,0,"West Texas","Rural"
"209","Scurry",15820,2665,48,18,0,0.168,0.003,0.001,0,"Northwest","Rural"
"210","Shackelford",2991,126,6,25,0,0.042,0.002,0.008,0,"Northwest","Rural"
"211","Shelby",22496,1957,31,33,0,0.087,0.001,0.001,0,"Southeast","Rural"
"212","Sherman",2273,600,5,0,0,0.264,0.002,0,0,"High Plains","Rural"
"213","Smith",219593,19415,1322,1058,1028,0.088,0.006,0.005,0.005,"Upper East","Urban"
"214","Somervell",8974,844,50,77,14,0.094,0.006,0.009,0.002,"Metroplex","Rural"
"215","Starr",59633,33098,29,2,1,0.555,0,0,0,"South Texas","Rural"
"216","Stephens",8722,684,8,14,16,0.078,0.001,0.002,0.002,"Northwest","Rural"
"217","Sterling",1266,224,0,0,0,0.177,0,0,0,"West Texas","Rural"
"218","Stonewall",1190,71,0,0,14,0.06,0,0,0.012,"Northwest","Rural"
"219","Sutton",3162,1262,10,0,0,0.399,0.003,0,0,"West Texas","Rural"
"220","Swisher",6577,1408,0,0,4,0.214,0,0,0.001,"High Plains","Rural"
"221","Tarrant",1975444,260216,36395,39826,28589,0.132,0.018,0.02,0.014,"Metroplex","Urban"
"222","Taylor",133107,14004,1405,1162,419,0.105,0.011,0.009,0.003,"Northwest","Urban"
"223","Terrell",851,274,0,0,0,0.322,0,0,0,"West Texas","Rural"
"224","Terry",10963,2842,11,207,8,0.259,0.001,0.019,0.001,"High Plains","Rural"
"225","Throckmorton",1322,35,3,8,0,0.026,0.002,0.006,0,"Northwest","Rural"
