"","Geographic.Area.Name","Estimate..Total..Population.5.years.and.over","NonEnglish_Language_Estimate","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"120","Jack County, Texas",8152,1053,937,56,21,39,438,39,11,39,0.467,0.696,0.524,1
"121","Jackson County, Texas",14019,2891,2724,53,114,0,1641,29,79,0,0.602,0.547,0.693,0
"122","Jasper County, Texas",31087,1765,1333,134,296,2,640,82,179,2,0.48,0.612,0.605,1
"123","Jeff Davis County, Texas",1858,380,346,0,16,18,172,0,8,18,0.497,0,0.5,1
"124","Jefferson County, Texas",237822,53535,43152,6026,3690,667,26146,3498,2483,444,0.606,0.58,0.673,0.666
"125","Jim Hogg County, Texas",4081,2478,2425,53,0,0,2176,53,0,0,0.897,1,0,0
"126","Jim Wells County, Texas",36397,17480,16994,64,196,226,13629,45,165,226,0.802,0.703,0.842,1
"127","Johnson County, Texas",171171,28110,24739,1886,909,576,14904,982,569,457,0.602,0.521,0.626,0.793
"128","Jones County, Texas",18987,3263,3019,52,160,32,2137,32,160,32,0.708,0.615,1,1
"129","Karnes County, Texas",14034,3933,3544,169,182,38,2267,52,121,6,0.64,0.308,0.665,0.158
"130","Kaufman County, Texas",139084,28201,23080,1303,1365,2453,16438,806,951,1991,0.712,0.619,0.697,0.812
"131","Kendall County, Texas",43340,6250,5520,367,282,81,3316,278,173,81,0.601,0.757,0.613,1
"132","Kenedy County, Texas",88,76,75,0,1,0,35,0,1,0,0.467,0,1,0
"133","Kent County, Texas",615,55,55,0,0,0,19,0,0,0,0.345,0,0,0
"134","Kerr County, Texas",50237,7192,6687,142,248,115,4621,111,181,115,0.691,0.782,0.73,1
"135","Kimble County, Texas",4078,706,687,0,0,19,492,0,0,14,0.716,0,0,0.737
"136","King County, Texas",202,47,47,0,0,0,25,0,0,0,0.532,0,0,0
"137","Kinney County, Texas",3022,1133,1133,0,0,0,906,0,0,0,0.8,0,0,0
"138","Kleberg County, Texas",28685,10670,9869,475,187,139,7702,434,72,90,0.78,0.914,0.385,0.647
"139","Knox County, Texas",3176,853,779,0,74,0,508,0,12,0,0.652,0,0.162,0
"140","Lamar County, Texas",46934,4210,2660,348,875,327,1847,233,572,154,0.694,0.67,0.654,0.471
"141","Lamb County, Texas",12129,4987,4937,8,42,0,3689,4,32,0,0.747,0.5,0.762,0
"142","Lampasas County, Texas",20763,2222,1599,143,480,0,1126,66,456,0,0.704,0.462,0.95,0
"143","La Salle County, Texas",6753,4179,4152,6,0,21,3348,0,0,7,0.806,0,0,0.333
"144","Lavaca County, Texas",19204,2705,2129,89,477,10,1454,53,438,10,0.683,0.596,0.918,1
"145","Lee County, Texas",16445,2895,2593,67,235,0,1700,38,225,0,0.656,0.567,0.957,0
"146","Leon County, Texas",15095,1785,1676,3,101,5,1121,1,101,5,0.669,0.333,1,1
"147","Liberty County, Texas",86674,23869,23121,349,302,97,13738,209,235,90,0.594,0.599,0.778,0.928
"148","Limestone County, Texas",20925,4042,3776,167,75,24,2618,37,23,0,0.693,0.222,0.307,0
"149","Lipscomb County, Texas",2823,802,767,6,4,25,423,6,4,0,0.551,1,1,0
"150","Live Oak County, Texas",10737,3183,2831,178,146,28,2195,126,136,25,0.775,0.708,0.932,0.893
"151","Llano County, Texas",20880,1757,1563,30,164,0,869,14,157,0,0.556,0.467,0.957,0
"152","Loving County, Texas",73,16,11,5,0,0,11,0,0,0,1,0,0,0
"153","Lubbock County, Texas",291818,59727,50314,4383,2789,2241,39246,2895,1968,1638,0.78,0.661,0.706,0.731
"154","Lynn County, Texas",5251,1310,1251,11,41,7,890,4,25,7,0.711,0.364,0.61,1
"155","McCulloch County, Texas",7225,1848,1788,8,52,0,1356,8,49,0,0.758,1,0.942,0
"156","McLennan County, Texas",244156,47330,41904,2492,2472,462,18963,1451,1908,184,0.453,0.582,0.772,0.398
"157","McMullen County, Texas",620,104,104,0,0,0,85,0,0,0,0.817,0,0,0
"158","Madison County, Texas",12750,2448,2323,27,98,0,1404,19,81,0,0.604,0.704,0.827,0
"159","Marion County, Texas",9326,333,237,57,39,0,92,42,39,0,0.388,0.737,1,0
"160","Martin County, Texas",4895,1716,1529,0,187,0,997,0,160,0,0.652,0,0.856,0
"161","Mason County, Texas",3619,643,522,4,117,0,263,4,93,0,0.504,1,0.795,0
"162","Matagorda County, Texas",33585,9684,8933,512,214,25,6329,19,185,25,0.708,0.037,0.864,1
"163","Maverick County, Texas",52723,46766,45940,36,40,750,26932,13,40,549,0.586,0.361,1,0.732
"164","Medina County, Texas",48542,12345,11935,26,313,71,8446,15,205,2,0.708,0.577,0.655,0.028
"165","Menard County, Texas",1888,460,460,0,0,0,329,0,0,0,0.715,0,0,0
"166","Midland County, Texas",155093,52105,47188,2343,1004,1570,32304,1223,843,1151,0.685,0.522,0.84,0.733
