"","Geographic.Area.Name","Total..Estimate..Population.5.years.and.over","NonEnglish_Language_Estimate","Percent_Bilangual","Percent_of_Spanish_Bilangual","Percent_of_Asian_Pacific_Bilangual","Percent_of_IndoEuro_Bilangual","Percent_of_Other_Bilangual","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","English_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"157","McMullen County, Texas",662,0.36,0.765,76.5,0,0,0,238,0,0,0,64,182,0,0,0,0.275,0,0,0
"158","Madison County, Texas",12855,0.192,0.764,75.6,88.2,100,0,2367,34,51,10,80.8,1789,30,51,0,0.139,0.002,0.004,0
"159","Marion County, Texas",9956,0.041,0.837,86.1,0,100,0,332,21,50,7,95.9,286,0,50,0,0.029,0,0.005,0
"160","Martin County, Texas",4427,0.28,0.615,62.6,0,49.5,0,1127,0,111,2,72,706,0,55,0,0.159,0,0.012,0
"161","Mason County, Texas",3779,0.182,0.473,40.2,0,94.4,0,599,0,91,0,81.8,241,0,86,0,0.064,0,0.023,0
"162","Matagorda County, Texas",34023,0.286,0.58,58.5,36.7,70.8,16.7,8849,493,340,60,71.4,5177,181,241,10,0.152,0.005,0.007,0
"163","Maverick County, Texas",49350,0.939,0.494,49.2,36.2,80,39.8,45901,47,99,319,6.1,22583,17,79,127,0.458,0,0.002,0.003
"164","Medina County, Texas",43010,0.35,0.746,74,100,98.4,0,14708,51,301,3,65,10884,51,296,0,0.253,0.001,0.007,0
"165","Menard County, Texas",2094,0.254,0.686,66.7,0,97,0,499,0,34,0,74.6,333,0,33,0,0.159,0,0.016,0
"166","Midland County, Texas",127270,0.298,0.631,62.4,51.8,86.9,16.3,35206,1028,1273,418,70.2,21969,533,1106,68,0.173,0.004,0.009,0.001
"167","Milam County, Texas",22973,0.157,0.65,63.3,55.4,92.9,0,3323,56,230,0,84.3,2103,31,214,0,0.092,0.001,0.009,0
"168","Mills County, Texas",4611,0.123,0.427,41.4,0,66.7,0,543,0,18,4,87.7,225,0,12,0,0.049,0,0.003,0
