"","Geographic.Area.Name","Estimate..Total..Population.5.years.and.over","NonEnglish_Language_Estimate","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","English_Monolangual","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Other_Langual_Not_Bilingual","Overall_Bilingual","Percent_of_Spanish_Bilangual","Percent_of_Asian_Pacific_Bilangual","Percent_of_IndoEuro_Bilangual","Percent_of_Other_Bilangual","Percent_Overall_Bilingual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"83","Frio County, Texas",17037,8840,8592,33,161,54,8197,5182,22,84,11,3541,5299,0.603,0.667,0.522,0.204,0.311,0.304,0.001,0.005,0.001
"84","Gaines County, Texas",19353,10600,4916,71,5579,34,8753,3017,59,2797,34,4693,5907,0.614,0.831,0.501,1,0.305,0.156,0.003,0.145,0.002
"85","Galveston County, Texas",330121,67260,52424,7491,6312,1033,262861,36118,4880,4963,884,20415,46845,0.689,0.651,0.786,0.856,0.142,0.109,0.015,0.015,0.003
"86","Garza County, Texas",5570,1962,1894,52,0,16,3608,896,22,0,6,1038,924,0.473,0.423,0,0.375,0.166,0.161,0.004,0,0.001
"87","Gillespie County, Texas",25686,4469,3783,58,628,0,21217,1836,41,487,0,2105,2364,0.485,0.707,0.775,0,0.092,0.071,0.002,0.019,0
"88","Glasscock County, Texas",992,270,196,0,28,46,722,96,0,28,46,100,170,0.49,0,1,1,0.171,0.097,0,0.028,0.046
"89","Goliad County, Texas",6842,1344,1224,10,110,0,5498,871,3,110,0,360,984,0.712,0.3,1,0,0.144,0.127,0,0.016,0
"90","Gonzales County, Texas",18342,5439,5248,138,38,15,12903,2923,41,38,15,2422,3017,0.557,0.297,1,1,0.164,0.159,0.002,0.002,0.001
"91","Gray County, Texas",19934,4040,3941,46,51,2,15894,2355,43,20,2,1620,2420,0.598,0.935,0.392,1,0.121,0.118,0.002,0.001,0
"92","Grayson County, Texas",128586,15188,12801,921,1308,158,113398,7870,420,1125,151,5622,9566,0.615,0.456,0.86,0.956,0.074,0.061,0.003,0.009,0.001
"93","Gregg County, Texas",116013,19780,17485,1193,819,283,96233,11890,774,607,257,6252,13528,0.68,0.649,0.741,0.908,0.117,0.102,0.007,0.005,0.002
"94","Grimes County, Texas",27851,5619,5274,67,223,55,22232,3377,24,197,13,2008,3611,0.64,0.358,0.883,0.236,0.13,0.121,0.001,0.007,0
"95","Guadalupe County, Texas",163666,35515,31589,1905,1742,279,128151,23066,1148,1436,87,9778,25737,0.73,0.603,0.824,0.312,0.157,0.141,0.007,0.009,0.001
"96","Hale County, Texas",30506,11575,11244,58,187,86,18931,8228,29,135,15,3168,8407,0.732,0.5,0.722,0.174,0.276,0.27,0.001,0.004,0
"97","Hall County, Texas",2723,760,752,8,0,0,1963,544,4,0,0,212,548,0.723,0.5,0,0,0.201,0.2,0.001,0,0
"98","Hamilton County, Texas",7825,903,791,1,111,0,6922,484,1,90,0,328,575,0.612,1,0.811,0,0.073,0.062,0,0.012,0
"99","Hansford County, Texas",4888,1742,1742,0,0,0,3146,986,0,0,0,756,986,0.566,0,0,0,0.202,0.202,0,0,0
"100","Hardeman County, Texas",3359,466,361,33,31,41,2893,194,20,29,41,182,284,0.537,0.606,0.935,1,0.085,0.058,0.006,0.009,0.012
"101","Hardin County, Texas",53152,2420,2083,147,172,18,50732,1190,65,157,0,1008,1412,0.571,0.442,0.913,0,0.027,0.022,0.001,0.003,0
"102","Harris County, Texas",4393352,1968351,1554270,201039,141444,71598,2425001,843288,102753,107171,52639,862500,1105851,0.543,0.511,0.758,0.735,0.252,0.192,0.023,0.024,0.012
"103","Harrison County, Texas",65115,6452,5865,212,210,165,58663,3511,137,152,133,2519,3933,0.599,0.646,0.724,0.806,0.06,0.054,0.002,0.002,0.002
"104","Hartley County, Texas",5077,957,849,2,106,0,4120,586,2,100,0,269,688,0.69,1,0.943,0,0.136,0.115,0,0.02,0
"105","Haskell County, Texas",5196,1005,987,4,14,0,4191,640,4,3,0,358,647,0.648,1,0.214,0,0.125,0.123,0.001,0.001,0
"106","Hays County, Texas",230886,60415,53684,2068,3619,1044,170471,37574,1488,2904,401,18048,42367,0.7,0.72,0.802,0.384,0.183,0.163,0.006,0.013,0.002
"107","Hemphill County, Texas",3206,1065,1031,0,34,0,2141,657,0,34,0,374,691,0.637,0,1,0,0.216,0.205,0,0.011,0
"108","Henderson County, Texas",78093,8123,7320,345,453,5,69970,5071,151,262,5,2634,5489,0.693,0.438,0.578,1,0.07,0.065,0.002,0.003,0
"109","Hidalgo County, Texas",801757,656004,647349,5188,2761,706,145753,405071,3632,2158,470,244673,411331,0.626,0.7,0.782,0.666,0.513,0.505,0.005,0.003,0.001
"110","Hill County, Texas",34081,5174,4815,165,180,14,28907,3237,63,133,10,1731,3443,0.672,0.382,0.739,0.714,0.101,0.095,0.002,0.004,0
"111","Hockley County, Texas",19988,5982,5771,17,160,34,14006,4331,7,102,34,1508,4474,0.75,0.412,0.637,1,0.224,0.217,0,0.005,0.002
"112","Hood County, Texas",59244,5477,4889,116,462,10,53767,3012,40,335,10,2080,3397,0.616,0.345,0.725,1,0.057,0.051,0.001,0.006,0
"113","Hopkins County, Texas",34744,5347,4903,174,254,16,29397,3108,65,254,8,1912,3435,0.634,0.374,1,0.5,0.099,0.089,0.002,0.007,0
"114","Houston County, Texas",21034,2005,1867,97,20,21,19029,1329,70,20,21,565,1440,0.712,0.722,1,1,0.068,0.063,0.003,0.001,0.001
"115","Howard County, Texas",32466,9104,8586,154,272,92,23362,5704,138,169,72,3021,6083,0.664,0.896,0.621,0.783,0.187,0.176,0.004,0.005,0.002
"116","Hudspeth County, Texas",3204,2445,2394,34,7,10,759,1055,16,2,0,1372,1073,0.441,0.471,0.286,0,0.335,0.329,0.005,0.001,0
"117","Hunt County, Texas",95291,12641,10898,777,606,360,82650,6922,434,539,135,4611,8030,0.635,0.559,0.889,0.375,0.084,0.073,0.005,0.006,0.001
"118","Hutchinson County, Texas",19379,2943,2858,44,40,1,16436,2152,18,20,1,752,2191,0.753,0.409,0.5,1,0.113,0.111,0.001,0.001,0
"119","Irion County, Texas",1515,316,316,0,0,0,1199,307,0,0,0,9,307,0.972,0,0,0,0.203,0.203,0,0,0
"120","Jack County, Texas",8152,1053,937,56,21,39,7099,438,39,11,39,526,527,0.467,0.696,0.524,1,0.065,0.054,0.005,0.001,0.005
"121","Jackson County, Texas",14019,2891,2724,53,114,0,11128,1641,29,79,0,1142,1749,0.602,0.547,0.693,0,0.125,0.117,0.002,0.006,0
"122","Jasper County, Texas",31087,1765,1333,134,296,2,29322,640,82,179,2,862,903,0.48,0.612,0.605,1,0.029,0.021,0.003,0.006,0
"123","Jeff Davis County, Texas",1858,380,346,0,16,18,1478,172,0,8,18,182,198,0.497,0,0.5,1,0.107,0.093,0,0.004,0.01
"124","Jefferson County, Texas",237822,53535,43152,6026,3690,667,184287,26146,3498,2483,444,20964,32571,0.606,0.58,0.673,0.666,0.137,0.11,0.015,0.01,0.002
"125","Jim Hogg County, Texas",4081,2478,2425,53,0,0,1603,2176,53,0,0,249,2229,0.897,1,0,0,0.546,0.533,0.013,0,0
"126","Jim Wells County, Texas",36397,17480,16994,64,196,226,18917,13629,45,165,226,3415,14065,0.802,0.703,0.842,1,0.386,0.374,0.001,0.005,0.006
"127","Johnson County, Texas",171171,28110,24739,1886,909,576,143061,14904,982,569,457,11198,16912,0.602,0.521,0.626,0.793,0.099,0.087,0.006,0.003,0.003
"128","Jones County, Texas",18987,3263,3019,52,160,32,15724,2137,32,160,32,902,2361,0.708,0.615,1,1,0.124,0.113,0.002,0.008,0.002
"129","Karnes County, Texas",14034,3933,3544,169,182,38,10101,2267,52,121,6,1487,2446,0.64,0.308,0.665,0.158,0.174,0.162,0.004,0.009,0
"130","Kaufman County, Texas",139084,28201,23080,1303,1365,2453,110883,16438,806,951,1991,8015,20186,0.712,0.619,0.697,0.812,0.145,0.118,0.006,0.007,0.014
"131","Kendall County, Texas",43340,6250,5520,367,282,81,37090,3316,278,173,81,2402,3848,0.601,0.757,0.613,1,0.089,0.077,0.006,0.004,0.002
"132","Kenedy County, Texas",88,76,75,0,1,0,12,35,0,1,0,40,36,0.467,0,1,0,0.409,0.398,0,0.011,0
"133","Kent County, Texas",615,55,55,0,0,0,560,19,0,0,0,36,19,0.345,0,0,0,0.031,0.031,0,0,0
"134","Kerr County, Texas",50237,7192,6687,142,248,115,43045,4621,111,181,115,2164,5028,0.691,0.782,0.73,1,0.1,0.092,0.002,0.004,0.002
"135","Kimble County, Texas",4078,706,687,0,0,19,3372,492,0,0,14,200,506,0.716,0,0,0.737,0.124,0.121,0,0,0.003
"136","King County, Texas",202,47,47,0,0,0,155,25,0,0,0,22,25,0.532,0,0,0,0.124,0.124,0,0,0
"137","Kinney County, Texas",3022,1133,1133,0,0,0,1889,906,0,0,0,227,906,0.8,0,0,0,0.3,0.3,0,0,0
"138","Kleberg County, Texas",28685,10670,9869,475,187,139,18015,7702,434,72,90,2372,8298,0.78,0.914,0.385,0.647,0.289,0.269,0.015,0.003,0.003
"139","Knox County, Texas",3176,853,779,0,74,0,2323,508,0,12,0,333,520,0.652,0,0.162,0,0.164,0.16,0,0.004,0
"140","Lamar County, Texas",46934,4210,2660,348,875,327,42724,1847,233,572,154,1404,2806,0.694,0.67,0.654,0.471,0.06,0.039,0.005,0.012,0.003
"141","Lamb County, Texas",12129,4987,4937,8,42,0,7142,3689,4,32,0,1262,3725,0.747,0.5,0.762,0,0.307,0.304,0,0.003,0
"142","Lampasas County, Texas",20763,2222,1599,143,480,0,18541,1126,66,456,0,574,1648,0.704,0.462,0.95,0,0.079,0.054,0.003,0.022,0
"143","La Salle County, Texas",6753,4179,4152,6,0,21,2574,3348,0,0,7,824,3355,0.806,0,0,0.333,0.497,0.496,0,0,0.001
"144","Lavaca County, Texas",19204,2705,2129,89,477,10,16499,1454,53,438,10,750,1955,0.683,0.596,0.918,1,0.102,0.076,0.003,0.023,0.001
"145","Lee County, Texas",16445,2895,2593,67,235,0,13550,1700,38,225,0,932,1963,0.656,0.567,0.957,0,0.119,0.103,0.002,0.014,0
"146","Leon County, Texas",15095,1785,1676,3,101,5,13310,1121,1,101,5,557,1228,0.669,0.333,1,1,0.081,0.074,0,0.007,0
"147","Liberty County, Texas",86674,23869,23121,349,302,97,62805,13738,209,235,90,9597,14272,0.594,0.599,0.778,0.928,0.165,0.159,0.002,0.003,0.001
"148","Limestone County, Texas",20925,4042,3776,167,75,24,16883,2618,37,23,0,1364,2678,0.693,0.222,0.307,0,0.128,0.125,0.002,0.001,0
"149","Lipscomb County, Texas",2823,802,767,6,4,25,2021,423,6,4,0,369,433,0.551,1,1,0,0.153,0.15,0.002,0.001,0
