Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!English only,Margin of Error!!Total!!English only,Estimate!!Total!!Spanish,Margin of Error!!Total!!Spanish,"Estimate!!Total!!Spanish!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Spanish!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Spanish!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Spanish!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Other Indo-European languages,Margin of Error!!Total!!Other Indo-European languages,"Estimate!!Total!!Other Indo-European languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other Indo-European languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Other Indo-European languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other Indo-European languages!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Asian and Pacific Island languages,Margin of Error!!Total!!Asian and Pacific Island languages,"Estimate!!Total!!Asian and Pacific Island languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Asian and Pacific Island languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Asian and Pacific Island languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Asian and Pacific Island languages!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Other languages,Margin of Error!!Total!!Other languages,"Estimate!!Total!!Other languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Other languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other languages!!At least one person 14 and over speaks English only or speaks English very well"""""
0500000US48021,"Bastrop County, Texas",25471,548,19401,665,5512,383,1355,351,4157,361,289,109,0,30,289,109,218,93,18,29,200,91,51,57,0,30,51,57
0500000US48023,"Baylor County, Texas",1735,111,1620,118,82,38,13,17,69,31,33,43,0,13,33,43,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48025,"Bee County, Texas",8681,360,4641,321,3923,296,628,160,3295,306,49,48,0,27,49,48,40,38,0,27,40,38,28,51,0,27,28,51
0500000US48027,"Bell County, Texas",103715,996,82400,1031,14284,637,2394,349,11890,667,3524,369,225,90,3299,366,3063,331,463,140,2600,313,444,160,0,30,444,160
0500000US48029,"Bexar County, Texas",596862,2306,300326,2442,268067,2471,38480,1472,229587,2569,13355,823,1248,232,12107,765,12542,612,2612,364,9930,593,2572,339,433,148,2139,338
0500000US48031,"Blanco County, Texas",4104,257,3330,212,682,109,242,90,440,111,80,53,0,20,80,53,7,12,0,20,7,12,5,15,5,15,0,20
0500000US48033,"Borden County, Texas",239,40,216,37,20,16,0,13,20,16,3,4,0,13,3,4,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48035,"Bosque County, Texas",6883,228,6120,214,720,98,199,80,521,94,30,18,0,20,30,18,10,10,0,20,10,10,3,4,0,20,3,4
0500000US48037,"Bowie County, Texas",33920,578,31518,555,1655,242,308,143,1347,254,417,168,4,6,413,169,273,103,57,32,216,100,57,56,13,22,44,52
0500000US48039,"Brazoria County, Texas",105920,1003,77228,1213,21137,805,3024,391,18113,801,3034,497,216,120,2818,466,3940,358,781,220,3159,342,581,250,45,66,536,255
0500000US48041,"Brazos County, Texas",68936,805,51982,845,10875,545,2960,413,7915,574,2841,343,530,156,2311,324,2862,294,988,220,1874,279,376,142,30,34,346,140
0500000US48043,"Brewster County, Texas",4106,226,2341,189,1703,209,145,67,1558,201,40,32,4,7,36,32,22,26,0,18,22,26,0,18,0,18,0,18
0500000US48045,"Briscoe County, Texas",657,64,544,61,113,29,33,17,80,28,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48047,"Brooks County, Texas",2465,194,301,127,2140,198,471,159,1669,161,0,18,0,18,0,18,24,34,17,30,7,12,0,18,0,18,0,18
0500000US48049,"Brown County, Texas",13302,444,12040,415,1144,162,169,80,975,138,47,34,11,18,36,29,71,55,45,45,26,27,0,27,0,27,0,27
0500000US48051,"Burleson County, Texas",6293,278,5531,262,591,138,124,80,467,132,146,82,43,62,103,56,25,23,0,20,25,23,0,20,0,20,0,20
0500000US48053,"Burnet County, Texas",16648,473,14437,381,1943,254,501,192,1442,227,164,80,24,41,140,73,81,74,64,60,17,32,23,24,0,27,23,24
0500000US48055,"Caldwell County, Texas",11640,406,7448,406,4144,341,436,117,3708,323,33,33,0,27,33,33,15,17,0,27,15,17,0,27,0,27,0,27
